track_id,file_path,genre_top
26542,fma_medium\026\026542.mp3,Rock
26546,fma_medium\026\026546.mp3,Rock
26583,fma_medium\026\026583.mp3,Experimental
26585,fma_medium\026\026585.mp3,Experimental
26586,fma_medium\026\026586.mp3,Experimental
26591,fma_medium\026\026591.mp3,Experimental
26593,fma_medium\026\026593.mp3,Experimental
26595,fma_medium\026\026595.mp3,Experimental
26600,fma_medium\026\026600.mp3,Experimental
26601,fma_medium\026\026601.mp3,Experimental
26605,fma_medium\026\026605.mp3,Experimental
26612,fma_medium\026\026612.mp3,Experimental
26626,fma_medium\026\026626.mp3,Electronic
26627,fma_medium\026\026627.mp3,Electronic
26628,fma_medium\026\026628.mp3,Electronic
26629,fma_medium\026\026629.mp3,Electronic
26630,fma_medium\026\026630.mp3,Electronic
26631,fma_medium\026\026631.mp3,Electronic
26632,fma_medium\026\026632.mp3,Electronic
26633,fma_medium\026\026633.mp3,Electronic
26634,fma_medium\026\026634.mp3,Electronic
26635,fma_medium\026\026635.mp3,Electronic
26636,fma_medium\026\026636.mp3,Electronic
26638,fma_medium\026\026638.mp3,Rock
26639,fma_medium\026\026639.mp3,Rock
26640,fma_medium\026\026640.mp3,Rock
26641,fma_medium\026\026641.mp3,Rock
26642,fma_medium\026\026642.mp3,Rock
26643,fma_medium\026\026643.mp3,Rock
26651,fma_medium\026\026651.mp3,Electronic
26652,fma_medium\026\026652.mp3,Electronic
26653,fma_medium\026\026653.mp3,Electronic
26654,fma_medium\026\026654.mp3,Electronic
26655,fma_medium\026\026655.mp3,Electronic
26656,fma_medium\026\026656.mp3,Electronic
26657,fma_medium\026\026657.mp3,Electronic
26658,fma_medium\026\026658.mp3,Electronic
26659,fma_medium\026\026659.mp3,Electronic
26669,fma_medium\026\026669.mp3,Experimental
26670,fma_medium\026\026670.mp3,Experimental
26673,fma_medium\026\026673.mp3,Rock
26674,fma_medium\026\026674.mp3,Rock
26675,fma_medium\026\026675.mp3,Rock
26676,fma_medium\026\026676.mp3,Rock
26677,fma_medium\026\026677.mp3,Rock
26678,fma_medium\026\026678.mp3,Rock
26679,fma_medium\026\026679.mp3,Rock
26680,fma_medium\026\026680.mp3,Rock
26681,fma_medium\026\026681.mp3,Rock
26682,fma_medium\026\026682.mp3,Rock
26693,fma_medium\026\026693.mp3,Instrumental
26697,fma_medium\026\026697.mp3,Instrumental
26729,fma_medium\026\026729.mp3,Rock
26730,fma_medium\026\026730.mp3,Rock
26740,fma_medium\026\026740.mp3,Pop
26744,fma_medium\026\026744.mp3,Pop
26754,fma_medium\026\026754.mp3,Pop
26764,fma_medium\026\026764.mp3,Pop
26765,fma_medium\026\026765.mp3,Pop
26804,fma_medium\026\026804.mp3,Rock
26805,fma_medium\026\026805.mp3,Rock
26851,fma_medium\026\026851.mp3,Electronic
26853,fma_medium\026\026853.mp3,Electronic
26854,fma_medium\026\026854.mp3,Electronic
26855,fma_medium\026\026855.mp3,Electronic
26859,fma_medium\026\026859.mp3,Electronic
26861,fma_medium\026\026861.mp3,Electronic
26868,fma_medium\026\026868.mp3,Electronic
26869,fma_medium\026\026869.mp3,Electronic
26870,fma_medium\026\026870.mp3,Electronic
26871,fma_medium\026\026871.mp3,Electronic
26902,fma_medium\026\026902.mp3,Electronic
26904,fma_medium\026\026904.mp3,Electronic
26905,fma_medium\026\026905.mp3,Electronic
26906,fma_medium\026\026906.mp3,Electronic
26907,fma_medium\026\026907.mp3,Electronic
26921,fma_medium\026\026921.mp3,Electronic
26927,fma_medium\026\026927.mp3,Electronic
26930,fma_medium\026\026930.mp3,Electronic
26932,fma_medium\026\026932.mp3,Electronic
27107,fma_medium\027\027107.mp3,Instrumental
27141,fma_medium\027\027141.mp3,Electronic
27148,fma_medium\027\027148.mp3,Electronic
27150,fma_medium\027\027150.mp3,Electronic
27155,fma_medium\027\027155.mp3,Electronic
27164,fma_medium\027\027164.mp3,Pop
27175,fma_medium\027\027175.mp3,Electronic
